타임스탬프,사용자ID,화면,이벤트,대상,값,행동,브라우저,디바이스
2026. 2. 6 오후 7:49:15,session_1770374933542_6ujkhycml,메인 미션 화면,버튼 클릭,mission_10,,mission_10 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:49:16,session_1770374951922_f421c8kh8,로그인,화면 진입,,,로그인 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:49:18,session_1770374933542_6ujkhycml,메인 미션 화면,미션 시작,mission_10,,mission_10 미션 시작,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:49:19,session_1770374951922_f421c8kh8,로그인,버튼 클릭,구글 로그인,,구글 로그인 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:49:21,session_1770374933542_6ujkhycml,기획1-1,화면 진입,,,기획1-1 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:49:24,session_1770374933542_6ujkhycml,기획1-1,화면 진입,,,기획1-1 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:49:25,session_1770374951922_f421c8kh8,로그인,로그인,구글,colabstart@gmail.com,구글 로그인,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:49:25,,login,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:49:28,session_1770374951922_f421c8kh8,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:49:28,,기획1-2,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:49:28,,missionMain,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:49:30,,기획1-2,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:49:30,session_1770374951922_f421c8kh8,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:49:33,session_1770374951922_f421c8kh8,메인 미션 화면,버튼 클릭,mission_12,,mission_12 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:49:35,session_1770374951922_f421c8kh8,메인 미션 화면,미션 시작,mission_12,,mission_12 미션 시작,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:49:38,session_1770374951922_f421c8kh8,기획1-2,화면 진입,,,기획1-2 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:49:41,session_1770374951922_f421c8kh8,기획1-2,화면 진입,,,기획1-2 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:49:43,,기획1-2_화면,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:49:43,session_1770374951922_f421c8kh8,기획1-2,버튼 클릭,다음,,다음 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:49:46,session_1770374951922_f421c8kh8,기획1-2_화면,화면 진입,,,기획1-2_화면 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:49:49,session_1770374951922_f421c8kh8,기획1-2_화면,화면 이탈,,0.0초,기획1-2_화면 화면 이탈 ,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:49:52,session_1770374951922_f421c8kh8,기획1-2_화면,화면 진입,,,기획1-2_화면 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:49:54,session_1770374951922_f421c8kh8,기획1-2_화면,미션 시작,기획1-2_미션시작,,기획1-2_미션시작 미션 시작,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:50:10,session_1770375005039_c7j4b1cq4,로그인,화면 진입,,,로그인 화면 진입,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",desktop
2026. 2. 6 오후 7:50:16,session_1770375008318_rg6him0na,로그인,화면 진입,,,로그인 화면 진입,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",desktop
2026. 2. 6 오후 7:50:19,session_1770375016538_mxqj5mjzd,로그인,화면 진입,,,로그인 화면 진입,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/131.0.6778.0 Safari/537.36",desktop
2026. 2. 6 오후 7:50:23,session_1770375005039_c7j4b1cq4,로그인,화면 진입,,,로그인 화면 진입,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",desktop
2026. 2. 6 오후 7:50:24,session_1770375008318_rg6him0na,기획1-2,화면 진입,,,기획1-2 화면 진입,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",desktop
2026. 2. 6 오후 7:50:29,session_1770375005039_c7j4b1cq4,로그인,화면 진입,,,로그인 화면 진입,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",desktop
2026. 2. 6 오후 7:50:35,session_1770375008318_rg6him0na,로그인,화면 진입,,,로그인 화면 진입,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",desktop
2026. 2. 6 오후 7:50:41,session_1770375005039_c7j4b1cq4,기획1-1,화면 진입,,,기획1-1 화면 진입,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",desktop
2026. 2. 6 오후 7:50:45,session_1770375008318_rg6him0na,기획1-2,화면 진입,,,기획1-2 화면 진입,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",desktop
2026. 2. 6 오후 7:50:51,session_1770375005039_c7j4b1cq4,기획1-1,버튼 클릭,다음,,다음 버튼 클릭,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",desktop
2026. 2. 6 오후 7:50:57,session_1770375008318_rg6him0na,기획1-2,버튼 클릭,다음,,다음 버튼 클릭,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",desktop
2026. 2. 6 오후 7:51:03,session_1770375005039_c7j4b1cq4,기획1-1_화면,화면 진입,,,기획1-1_화면 화면 진입,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",desktop
2026. 2. 6 오후 7:51:09,session_1770375008318_rg6him0na,기획1-2_화면,화면 진입,,,기획1-2_화면 화면 진입,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",desktop
2026. 2. 6 오후 7:51:15,session_1770375005039_c7j4b1cq4,기획1-1_화면,미션 시작,기획1-1_미션시작,,기획1-1_미션시작 미션 시작,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",desktop
2026. 2. 6 오후 7:51:21,session_1770375008318_rg6him0na,기획1-2_화면,미션 시작,기획1-2_미션시작,,기획1-2_미션시작 미션 시작,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",desktop
2026. 2. 6 오후 7:51:27,session_1770375005039_c7j4b1cq4,기획1-1_화면,버튼 클릭,cut_select,"{""cutId"":1,""cutTitle"":""인트로(첫 장면)"",""prevCutId"":1,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",desktop
2026. 2. 6 오후 7:51:32,session_1770375008318_rg6him0na,기획1-2_화면,버튼 클릭,cut_select,"{""cutId"":1,""cutLabel"":""1"",""cutTitle"":""인트로(첫 장면)"",""prevCutId"":1,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",desktop
2026. 2. 6 오후 7:51:39,session_1770375005039_c7j4b1cq4,기획1-1_화면,버튼 클릭,cut_select,"{""cutId"":1,""cutTitle"":""인트로(첫 장면)"",""prevCutId"":1,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",desktop
2026. 2. 6 오후 7:51:45,session_1770375008318_rg6him0na,기획1-2_화면,버튼 클릭,메모입력완료,"{""cutId"":1,""cutLabel"":""1"",""cutTitle"":""인트로(첫 장면)"",""memoLength"":3,""memoText"":""tet""}",메모입력완료 버튼 클릭,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",desktop
2026. 2. 6 오후 7:51:51,session_1770375005039_c7j4b1cq4,기획1-1_화면,버튼 클릭,메모입력완료,"{""cutId"":1,""cutTitle"":""인트로(첫 장면)"",""memoLength"":3,""memoText"":""tet""}",메모입력완료 버튼 클릭,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",desktop
2026. 2. 6 오후 7:51:57,session_1770375008318_rg6him0na,기획1-2_화면,버튼 클릭,cut_select,"{""cutId"":3,""cutLabel"":""6"",""cutTitle"":""마무리 장면"",""prevCutId"":1,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",desktop
2026. 2. 6 오후 7:52:02,session_1770375005039_c7j4b1cq4,기획1-1_화면,버튼 클릭,cut_select,"{""cutId"":2,""cutTitle"":""테이블 풀샷"",""prevCutId"":1,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",desktop
2026. 2. 6 오후 7:52:04,session_1770374951922_f421c8kh8,기획1-2_화면,화면 이탈,,153.2초,기획1-2_화면 화면 이탈 ,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:52:06,session_1770374951922_f421c8kh8,편집6-1_미션설명,화면 진입,,,편집6-1_미션설명 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:52:08,session_1770375005039_c7j4b1cq4,기획1-1_화면,버튼 클릭,cut_select,"{""cutId"":2,""cutTitle"":""테이블 풀샷"",""prevCutId"":2,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",desktop
2026. 2. 6 오후 7:52:09,session_1770374951922_f421c8kh8,편집6-1_미션설명,화면 진입,,,편집6-1_미션설명 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:52:09,,편집6-1,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:52:11,session_1770374951922_f421c8kh8,편집6-1_미션설명,버튼 클릭,다음,,다음 버튼 클릭,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:52:13,,편집6-1_화면,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:52:14,session_1770375005039_c7j4b1cq4,기획1-1_화면,버튼 클릭,cut_select,"{""cutId"":2,""cutTitle"":""테이블 풀샷"",""prevCutId"":2,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",desktop
2026. 2. 6 오후 7:52:15,session_1770374951922_f421c8kh8,편집6-1_화면,화면 진입,,,편집6-1_화면 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:52:19,session_1770374951922_f421c8kh8,편집6-1_화면,화면 이탈,,0.0초,편집6-1_화면 화면 이탈 ,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 7:52:19,session_1770375005039_c7j4b1cq4,기획1-1_화면,버튼 클릭,메모입력완료,"{""cutId"":2,""cutTitle"":""테이블 풀샷"",""memoLength"":3,""memoText"":""ddd""}",메모입력완료 버튼 클릭,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",desktop
2026. 2. 6 오후 7:52:22,session_1770374951922_f421c8kh8,편집6-1_화면,화면 진입,,,편집6-1_화면 화면 진입,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
2026. 2. 6 오후 11:24:15,session_1770387852390_vgxtbzv3h,로그인,화면 진입,,,로그인 화면 진입,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",desktop
2026. 2. 6 오후 11:24:16,session_1770387848129_n4hqazpe2,로그인,화면 진입,,,로그인 화면 진입,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",desktop
2026. 2. 6 오후 11:24:19,session_1770387852390_vgxtbzv3h,기획1-2,화면 진입,,,기획1-2 화면 진입,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",desktop
2026. 2. 6 오후 11:24:20,session_1770387848129_n4hqazpe2,기획1-1,화면 진입,,,기획1-1 화면 진입,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",desktop
2026. 2. 6 오후 11:24:23,session_1770387848129_n4hqazpe2,기획1-1,버튼 클릭,다음,,다음 버튼 클릭,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",desktop
2026. 2. 6 오후 11:24:27,session_1770387848129_n4hqazpe2,기획1-1_화면,화면 진입,,,기획1-1_화면 화면 진입,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",desktop
2026. 2. 6 오후 11:24:32,session_1770387848129_n4hqazpe2,기획1-1_화면,미션 시작,기획1-1_미션시작,,기획1-1_미션시작 미션 시작,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",desktop
2026. 2. 6 오후 11:24:33,session_1770387871435_xpjjie1bf,로그인,화면 진입,,,로그인 화면 진입,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",desktop
2026. 2. 6 오후 11:24:36,session_1770387871435_xpjjie1bf,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",desktop
2026. 2. 6 오후 11:24:45,session_1770387848129_n4hqazpe2,기획1-1_화면,버튼 클릭,cut_select,"{""cutId"":1,""cutTitle"":""인트로(첫 장면)"",""prevCutId"":1,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",desktop
2026. 2. 6 오후 11:24:50,session_1770387848129_n4hqazpe2,기획1-1_화면,버튼 클릭,cut_select,"{""cutId"":1,""cutTitle"":""인트로(첫 장면)"",""prevCutId"":1,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",desktop
2026. 2. 6 오후 11:24:55,session_1770387848129_n4hqazpe2,기획1-1_화면,버튼 클릭,메모입력완료,"{""cutId"":1,""cutTitle"":""인트로(첫 장면)"",""memoLength"":5,""memoText"":""test1""}",메모입력완료 버튼 클릭,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",desktop
2026. 2. 6 오후 11:24:59,session_1770387848129_n4hqazpe2,기획1-1_화면,버튼 클릭,cut_select,"{""cutId"":2,""cutTitle"":""테이블 풀샷"",""prevCutId"":1,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",desktop
2026. 2. 6 오후 11:25:04,session_1770387848129_n4hqazpe2,기획1-1_화면,버튼 클릭,cut_select,"{""cutId"":3,""cutTitle"":""공간 무드"",""prevCutId"":2,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",desktop
2026. 2. 6 오후 11:25:06,session_1770387904242_0p5cjsxxc,로그인,화면 진입,,,로그인 화면 진입,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",desktop
2026. 2. 6 오후 11:25:12,session_1770387848129_n4hqazpe2,기획1-1_화면,버튼 클릭,cut_select,"{""cutId"":3,""cutTitle"":""공간 무드"",""prevCutId"":3,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",desktop
2026. 2. 6 오후 11:25:14,session_1770387904242_0p5cjsxxc,기획1-2,화면 진입,,,기획1-2 화면 진입,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",desktop
2026. 2. 6 오후 11:25:14,session_1770387871435_xpjjie1bf,메인 미션 화면,버튼 클릭,미션 1-1,,미션 1-1 버튼 클릭,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",desktop
2026. 2. 6 오후 11:25:18,session_1770387848129_n4hqazpe2,기획1-1_화면,버튼 클릭,cut_select,"{""cutId"":3,""cutTitle"":""공간 무드"",""prevCutId"":3,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",desktop
2026. 2. 6 오후 11:25:19,session_1770387871435_xpjjie1bf,메인 미션 화면,미션 시작,미션 1-1,,미션 1-1 미션 시작,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",desktop
2026. 2. 6 오후 11:25:22,session_1770387904242_0p5cjsxxc,기획1-2,버튼 클릭,다음,,다음 버튼 클릭,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",desktop
2026. 2. 6 오후 11:25:22,session_1770387871435_xpjjie1bf,편집1-1_미션설명,화면 진입,,,편집1-1_미션설명 화면 진입,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",desktop
2026. 2. 6 오후 11:25:26,session_1770387848129_n4hqazpe2,기획1-1_화면,버튼 클릭,메모입력완료,"{""cutId"":3,""cutTitle"":""공간 무드"",""memoLength"":5,""memoText"":""test3""}",메모입력완료 버튼 클릭,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",desktop
2026. 2. 6 오후 11:25:28,session_1770387871435_xpjjie1bf,편집1-1_미션설명,버튼 클릭,다음,,다음 버튼 클릭,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",desktop
2026. 2. 6 오후 11:25:31,session_1770387904242_0p5cjsxxc,기획1-2_화면,화면 진입,,,기획1-2_화면 화면 진입,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",desktop
2026. 2. 6 오후 11:25:32,session_1770387871435_xpjjie1bf,편집1-1_화면,화면 진입,,,편집1-1_화면 화면 진입,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",desktop
2026. 2. 6 오후 11:25:35,session_1770387871435_xpjjie1bf,편집1-1_화면,미션 시작,편집1-1_미션시작,,편집1-1_미션시작 미션 시작,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",desktop
2026. 2. 6 오후 11:25:36,session_1770387848129_n4hqazpe2,기획1-1_화면,버튼 클릭,cut_select,"{""cutId"":5,""cutTitle"":""공간 시그니처"",""prevCutId"":3,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",desktop
